200	1	One 200 field must be present in a UNIMARC record. ####Specifies the Primary Title.  In UNIMARC, a record must have a 200 field.
801	1	One 801 field must be present in a UNIMARC record. ####Specifies the Originating Source.  In UNIMARC, a record must have a 801 field.

001	NR	RECORD IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
	NR	Undefined

003	NR	PERSISTENT RECORD IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
	NR	Undefined

005	NR	VERSION IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
	NR	Undefined

010	R	INTERNATIONAL STANDARD BOOK NUMBER (ISBN)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	69abdz	Valid subfields
6	NR	Interfield Linking Data
9	NR	Local Subfield
a	NR	Number (ISBN)
b	R	Qualification
d	NR	Terms of Availability and/or Price
z	R	Erroneous ISBN

011	R	INTERNATIONAL STANDARD SERIAL NUMBER (ISSN)
ind1	01	Level of Interest Indicator
ind2	blank	Undefined
subfield	9abdfgyz	Valid subfields
9	NR	Local Subfield
a	NR	Number (ISSN)
b	NR	Qualification
d	R	Terms of Availability and/or Price
f	NR	ISSN-L or linking ISSN
g	R	Cancelled ISSN-L
y	R	Cancelled ISSN
z	R	Erroneous ISSN or ISSN-L

012	R	FINGERPRINT IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	259a	Valid subfields
2	NR	Fingerprint System Code
5	NR	Institution to which the Field Applies
9	NR	Local Subfield
a	NR	Fingerprint

013	R	INTERNATIONAL STANDARD MUSIC NUMBER (ISMN)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	69abdz	Valid subfields
6	NR	Interfield Linking Data
9	NR	Local Subfield
a	NR	Number (ISMN)
b	NR	Qualification
d	NR	Terms of Availability and/or Price
z	R	Erroneous ISMN

014	R	ARTICLE IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	29az	Valid subfields
2	NR	System Code
9	NR	Local Subfield
a	NR	Article Identifier
z	R	Erroneous Article Identifier

015	R	INTERNATIONAL STANDARD REPORT NUMBER (ISRN)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abdz	Valid subfields
9	NR	Local Subfield
a	NR	Number (ISRN)
b	NR	Qualification
d	NR	Terms of Availability and/or Price
z	R	Erroneous ISRN

016	R	INTERNATIONAL STANDARD RECORDING CODE (ISRC)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abdz	Valid subfields
9	NR	Local Subfield
a	NR	Number (ISRC)
b	NR	Qualification
d	NR	Terms of Availability and/or Price
z	R	Erroneous ISRC

017	R	OTHER STANDARD IDENTIFIER
ind1	78	Type of identifier
ind2	012	Difference indicator
subfield	29abdz	Valid subfields
2	NR	Source of code
9	NR	Local Subfield
a	NR	Number
b	NR	Qualification
d	NR	Terms of Availability and/or Price
z	R	Erroneous Number or Code

020	R	NATIONAL BIBLIOGRAPHY NUMBER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abz	Valid subfields
9	NR	Local Subfield
a	NR	Country Code
b	NR	Number
z	R	Erroneous Number

021	R	LEGAL DEPOSIT NUMBER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abz	Valid subfields
9	NR	Local Subfield
a	NR	Country Code
b	NR	Number
z	R	Erroneous Number

022	R	GOVERNMENT PUBLICATION NUMBER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abz	Valid subfields
9	NR	Local Subfield
a	NR	Country Code
b	NR	Number
z	R	Erroneous Number

033	NR	OTHER SYSTEM PERSISTENT RECORD IDENTIFIER
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9az	Valid subfields
9	NR	Local Subfield
a	NR	Persistent Record Identifier
z	R	Cancelled or Invalid Persistent Record Identifier

035	R	OTHER SYSTEMS CONTROL NUMBERS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9az	Valid subfields
9	NR	Local Subfield
a	NR	System Control Number
z	R	Cancelled or Invalid Control Number

036	R	MUSIC INCIPIT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	29abcdefgmnopqrtuz	Valid subfields
2	NR	System code for musical notation
9	NR	Local Subfield
a	NR	Number of work
b	NR	Number of movement
c	NR	Number of incipit
d	NR	Voice/instrument
e	NR	Role
f	R	Movement caption/heading
g	NR	Key or mode
m	R	Clef
n	NR	Key signature
o	NR	Time signature
p	NR	Musical notation
q	R	Comments (free text)
r	NR	Codified note
t	R	Text incipit
u	R	Uniform Resource Identifier
z	R	Language of text

040	R	CODEN
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9az	Valid subfields
9	NR	Local Subfield
a	NR	CODEN
z	R	Erroneous CODEN

071	R	PUBLISHER’S NUMBER
ind1	0123456	Type of Publisher's Number
ind2	01	Note Indicator
subfield	9abcdz	Valid subfields
9	NR	Local Subfield
a	NR	Publisher's Number
b	NR	Source
c	NR	Qualification
d	NR	Terms of availability and/or price
z	NR	Erroneous publisher's number

072	R	UNIVERSAL PRODUCT CODE (UPC)
ind1	blank	Undefined
ind2	012	Difference indicator
subfield	9abcdz	Valid subfields
9	NR	Local Subfield
a	NR	Standard Number
b	NR	Qualification
c	NR	Additional codes following standard number or codes
d	NR	Terms of Availability and/or Price
z	R	Erroneous Number or Code

073	R	INTERNATIONAL ARTICLE NUMBER (EAN)
ind1	blank	Undefined
ind2	012	Difference indicator
subfield	9abcdz	Valid subfields
9	NR	Local Subfield
a	NR	Standard Number
b	NR	Qualification
c	NR	Additional codes following standard number or codes
d	NR	Terms of Availability and/or Price
z	R	Erroneous Number or Code

